REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
U2,Euro area,2016-S1,SME,SME,A,All,0,P3,Access to finance,4.64805136934582,24.7245371403805,31.56030593464289
U2,Euro area,2016-S1,SME,SME,A,All,1,P3,Access to finance,4.598155068577073,24.28560808161735,31.054811267635557
U2,Euro area,2016-S1,SME,SME,A,All,2,P3,Access to finance,4.872897899438535,27.216143813183407,34.44417516823035
U2,Euro area,2016-S1,SME,SME,A,All,3,P3,Access to finance,4.9353289581424,27.755154941779885,33.95104147159234
U2,Euro area,2016-S1,SME,SME,A,All,4,P3,Access to finance,4.702358510858769,20.1473140107427,28.804306692862152
U2,Euro area,2016-S1,SME,SME,A,All,9,P3,Access to finance,4.2115657694217115,12.824959358752034,23.905368804731562
U2,Euro area,2016-S1,SME,SME,C,Construction,0,P3,Access to finance,4.941612776605016,28.15661357046379,34.56290333709484
U2,Euro area,2016-S1,SME,SME,I,Industry,0,P3,Access to finance,4.645091633395097,23.918583415199386,31.48897784104519
U2,Euro area,2016-S1,SME,SME,S,Services,0,P3,Access to finance,4.46647808225188,22.863833731244416,29.32888099977729
U2,Euro area,2016-S1,SME,SME,T,Trade,0,P3,Access to finance,4.868882189741312,27.34503372309526,34.553989453179426
U2,Euro area,2016-S1,SML,Small,A,All,0,P3,Access to finance,4.714926812039983,24.249983707152285,31.815399884749638
U2,Euro area,2016-S1,SML,Small,A,All,1,P3,Access to finance,4.68940333113494,24.06202259641471,31.63703921142553
U2,Euro area,2016-S1,SML,Small,A,All,2,P3,Access to finance,4.797661900749778,26.433190646346038,33.60719094083905
U2,Euro area,2016-S1,SML,Small,A,All,3,P3,Access to finance,4.85788748992588,24.614651447412587,30.35504901756762
U2,Euro area,2016-S1,SML,Small,A,All,4,P3,Access to finance,5.143056191613853,18.464458759453212,34.6539999251608
